x;y;IC
0.0;0.0;20.528218160592974
0.0;0.14;20.6984479450545
0.0;0.28;20.93389208605897
0.0;0.42000000000000004;21.21134295281706
0.0;0.56;21.507908570815754
0.0;0.7000000000000001;21.804330161980225
0.0;0.8400000000000001;22.085986976655267
0.0;0.9800000000000001;22.341640210599778
0.0;1.12;22.56067050942564
0.0;1.2600000000000002;22.730033184366103
0.0;1.4000000000000001;22.83226333187957
0.0;1.54;22.845577629282857
0.0;1.6800000000000002;22.746513625760077
0.0;1.8200000000000003;22.5147801395225
0.0;1.9600000000000002;22.139268781859023
0.0;2.1;21.62369460832924
0.0;2.24;20.990233438531984
0.0;2.3800000000000003;20.27984983268575
0.0;2.5200000000000005;19.548700642662805
0.0;2.66;18.860898038158663
0.0;2.8000000000000003;18.278809765297773
0.0;2.9400000000000004;17.852744754108617
0.0;3.08;17.612148687469052
0.0;3.22;17.56023625714135
0.0;3.3600000000000003;17.67334424564755
0.0;3.5000000000000004;17.905336233908564
0.0;3.6400000000000006;18.19633321283208
0.0;3.7800000000000002;18.484118024609305
0.0;3.9200000000000004;18.715970984850944
0.0;4.0600000000000005;18.858570536376437
0.0;4.2;18.90396446457397
0.0;4.340000000000001;18.870404084997592
0.0;4.48;18.797867431967397
0.0;4.62;18.739159739453555
0.0;4.760000000000001;18.74835130484924
0.0;4.9;18.868821042095963
0.0;5.040000000000001;19.123226447313108
0.0;5.180000000000001;19.50732167413114
0.0;5.32;19.98878993329417
1.0;0.0;20.91342585827066
1.0;0.14;21.026727376988706
1.0;0.28;21.197117818592574
1.0;0.42000000000000004;21.402380389314867
1.0;0.56;21.62297427189458
1.0;0.7000000000000001;21.845292183444432
1.0;0.8400000000000001;22.062137153844347
1.0;0.9800000000000001;22.270503444340562
1.0;1.12;22.467534943933412
1.0;1.2600000000000002;22.646080953134284
1.0;1.4000000000000001;22.791427069628718
1.0;1.54;22.880500476751493
1.0;1.6800000000000002;22.884199255773076
1.0;1.8200000000000003;22.772636395519285
1.0;1.9600000000000002;22.522240085822325
1.0;2.1;22.12303430716008
1.0;2.24;21.5842060981195
1.0;2.3800000000000003;20.936320364980052
1.0;2.5200000000000005;20.22922598908411
1.0;2.66;19.52565746126785
1.0;2.8000000000000003;18.891551466898253
1.0;2.9400000000000004;18.38492580323979
1.0;3.08;18.045605655824055
1.0;3.22;17.888014404876344
1.0;3.3600000000000003;17.898673758002303
1.0;3.5000000000000004;18.039099105772372
1.0;3.6400000000000006;18.25363891285566
1.0;3.7800000000000002;18.48074267568686
1.0;3.9200000000000004;18.665386785091332
1.0;4.0600000000000005;18.770109608237473
1.0;4.2;18.78236879048594
1.0;4.340000000000001;18.71667931989624
1.0;4.48;18.611060057864847
1.0;4.62;18.51848159515899
1.0;4.760000000000001;18.49502536035945
1.0;4.9;18.587125280350826
1.0;5.040000000000001;18.820440891029527
1.0;5.180000000000001;19.192580130554415
1.0;5.32;19.67113093059366
2.0;0.0;21.029744010060497
2.0;0.14;21.120121691648365
2.0;0.28;21.24292795820007
2.0;0.42000000000000004;21.379183848201414
2.0;0.56;21.516479055077237
2.0;0.7000000000000001;21.651349343572512
2.0;0.8400000000000001;21.788410091345494
2.0;0.9800000000000001;21.936508150092223
